id,source_type,source_system,source_row_key,created_at,summary
SRC-DE-ORD-2024-100001,synthetic_order_row,event_layer_generator,ORD-2024-100001|SKU-WE-V01|长江存储 (YMTC)|OLED柔性屏,2023-09-03 22:59:00,订单 ORD-2024-100001 出现 delivery 延迟，承运商 跨越速运，延迟 48.0 小时
SRC-DE-ORD-2024-100003,synthetic_order_row,event_layer_generator,ORD-2024-100003|SKU-CE-L01|华为海思 (HiSilicon)|散热模组,2024-01-08 10:02:00,订单 ORD-2024-100003 出现 linehaul 延迟，承运商 跨越速运，延迟 48.0 小时
SRC-DE-ORD-2024-100004,synthetic_order_row,event_layer_generator,ORD-2024-100004|SKU-ST-S01|比亚迪半导体 (BYD)|闪存颗粒,2023-07-12 17:31:00,订单 ORD-2024-100004 出现 linehaul 延迟，承运商 德邦快递，延迟 24.0 小时
SRC-DE-ORD-2024-100009,synthetic_order_row,event_layer_generator,ORD-2024-100009|SKU-CE-L01|立讯精密 (Luxshare)|光学镜头,2023-06-19 08:49:00,订单 ORD-2024-100009 出现 delivery 延迟，承运商 京东物流，延迟 48.0 小时
SRC-DE-ORD-2024-100011,synthetic_order_row,event_layer_generator,ORD-2024-100011|SKU-ST-M01|长江存储 (YMTC)|OLED柔性屏,2023-06-20 08:46:00,订单 ORD-2024-100011 出现 delivery 延迟，承运商 邮政EMS，延迟 24.0 小时
SRC-DE-ORD-2024-100012,synthetic_order_row,event_layer_generator,ORD-2024-100012|SKU-CE-L01|中芯国际 (SMIC)|主控芯片,2024-07-11 07:20:00,订单 ORD-2024-100012 出现 delivery 延迟，承运商 邮政EMS，延迟 24.0 小时
SRC-DE-ORD-2024-100013,synthetic_order_row,event_layer_generator,ORD-2024-100013|SKU-WE-V01|中芯国际 (SMIC)|PCB印刷电路板,2023-07-27 12:30:00,订单 ORD-2024-100013 出现 linehaul 延迟，承运商 邮政EMS，延迟 48.0 小时
SRC-DE-ORD-2024-100015,synthetic_order_row,event_layer_generator,ORD-2024-100015|SKU-WE-V01|京东方 (BOE)|聚合物锂电池,2024-08-08 06:15:00,订单 ORD-2024-100015 出现 delivery 延迟，承运商 德邦快递，延迟 48.0 小时
SRC-DE-ORD-2024-100017,synthetic_order_row,event_layer_generator,ORD-2024-100017|SKU-AE-M01|京东方 (BOE)|硅晶圆,2024-07-16 19:00:00,订单 ORD-2024-100017 出现 linehaul 延迟，承运商 中通快递，延迟 48.0 小时
SRC-DE-ORD-2024-100018,synthetic_order_row,event_layer_generator,ORD-2024-100018|SKU-CE-P01|立讯精密 (Luxshare)|CMOS图像传感器,2024-09-07 22:25:00,订单 ORD-2024-100018 出现 linehaul 延迟，承运商 德邦快递，延迟 24.0 小时
SRC-DE-ORD-2024-100019,synthetic_order_row,event_layer_generator,ORD-2024-100019|SKU-WE-W01|韦尔股份 (Willsemi)|聚合物锂电池,2024-04-22 11:07:00,订单 ORD-2024-100019 出现 linehaul 延迟，承运商 跨越速运，延迟 120.0 小时
SRC-DE-ORD-2024-100020,synthetic_order_row,event_layer_generator,ORD-2024-100020|SKU-ST-S01|紫光展锐 (UNISOC)|闪存颗粒,2024-03-05 11:46:00,订单 ORD-2024-100020 出现 delivery 延迟，承运商 中通快递，延迟 48.0 小时
SRC-DE-ORD-2024-100023,synthetic_order_row,event_layer_generator,ORD-2024-100023|SKU-WE-V01|立讯精密 (Luxshare)|硅晶圆,2024-04-19 00:55:00,订单 ORD-2024-100023 出现 linehaul 延迟，承运商 顺丰速运，延迟 48.0 小时
SRC-DE-ORD-2024-100031,synthetic_order_row,event_layer_generator,ORD-2024-100031|SKU-WE-W01|紫光展锐 (UNISOC)|主控芯片,2023-07-19 20:29:00,订单 ORD-2024-100031 出现 linehaul 延迟，承运商 德邦快递，延迟 48.0 小时
SRC-DE-ORD-2024-100032,synthetic_order_row,event_layer_generator,ORD-2024-100032|SKU-AE-M01|闻泰科技 (Wingtech)|CMOS图像传感器,2023-10-05 00:43:00,订单 ORD-2024-100032 出现 delivery 延迟，承运商 中通快递，延迟 24.0 小时
SRC-DE-ORD-2024-100033,synthetic_order_row,event_layer_generator,ORD-2024-100033|SKU-CE-P01|立讯精密 (Luxshare)|闪存颗粒,2024-01-15 14:45:00,订单 ORD-2024-100033 出现 linehaul 延迟，承运商 极兔速递，延迟 24.0 小时
SRC-DE-ORD-2024-100035,synthetic_order_row,event_layer_generator,ORD-2024-100035|SKU-WE-V01|歌尔股份 (Goertek)|闪存颗粒,2023-08-09 21:08:00,订单 ORD-2024-100035 出现 delivery 延迟，承运商 顺丰速运，延迟 48.0 小时
SRC-DE-ORD-2024-100038,synthetic_order_row,event_layer_generator,ORD-2024-100038|SKU-CE-P01|立讯精密 (Luxshare)|散热模组,2023-06-17 06:04:00,订单 ORD-2024-100038 出现 linehaul 延迟，承运商 邮政EMS，延迟 24.0 小时
SRC-DE-ORD-2024-100039,synthetic_order_row,event_layer_generator,ORD-2024-100039|SKU-CE-P01|比亚迪半导体 (BYD)|光学镜头,2024-02-04 04:11:00,订单 ORD-2024-100039 出现 linehaul 延迟，承运商 圆通速递，延迟 24.0 小时
SRC-DE-ORD-2024-100041,synthetic_order_row,event_layer_generator,ORD-2024-100041|SKU-AE-C01|华为海思 (HiSilicon)|主控芯片,2024-06-26 18:28:00,订单 ORD-2024-100041 出现 delivery 延迟，承运商 邮政EMS，延迟 24.0 小时
SRC-DE-ORD-2024-100042,synthetic_order_row,event_layer_generator,ORD-2024-100042|SKU-CE-L01|立讯精密 (Luxshare)|聚合物锂电池,2023-06-10 10:11:00,订单 ORD-2024-100042 出现 linehaul 延迟，承运商 极兔速递，延迟 48.0 小时
SRC-DE-ORD-2024-100043,synthetic_order_row,event_layer_generator,ORD-2024-100043|SKU-WE-V01|比亚迪半导体 (BYD)|OLED柔性屏,2023-07-30 22:15:00,订单 ORD-2024-100043 出现 delivery 延迟，承运商 京东物流，延迟 48.0 小时
SRC-DE-ORD-2024-100044,synthetic_order_row,event_layer_generator,ORD-2024-100044|SKU-CE-P01|比亚迪半导体 (BYD)|闪存颗粒,2023-09-25 23:28:00,订单 ORD-2024-100044 出现 linehaul 延迟，承运商 顺丰速运，延迟 48.0 小时
SRC-DE-ORD-2024-100045,synthetic_order_row,event_layer_generator,ORD-2024-100045|SKU-AE-C01|长江存储 (YMTC)|光学镜头,2024-09-15 14:09:00,订单 ORD-2024-100045 出现 linehaul 延迟，承运商 极兔速递，延迟 48.0 小时
SRC-DE-ORD-2024-100046,synthetic_order_row,event_layer_generator,ORD-2024-100046|SKU-ST-M01|闻泰科技 (Wingtech)|聚合物锂电池,2023-09-11 09:25:00,订单 ORD-2024-100046 出现 delivery 延迟，承运商 京东物流，延迟 24.0 小时
SRC-DE-ORD-2024-100049,synthetic_order_row,event_layer_generator,ORD-2024-100049|SKU-ST-S01|歌尔股份 (Goertek)|聚合物锂电池,2023-09-23 04:02:00,订单 ORD-2024-100049 出现 delivery 延迟，承运商 邮政EMS，延迟 24.0 小时
SRC-DE-ORD-2024-100052,synthetic_order_row,event_layer_generator,ORD-2024-100052|SKU-AE-C01|闻泰科技 (Wingtech)|散热模组,2024-07-27 14:09:00,订单 ORD-2024-100052 出现 linehaul 延迟，承运商 跨越速运，延迟 48.0 小时
SRC-DE-ORD-2024-100054,synthetic_order_row,event_layer_generator,ORD-2024-100054|SKU-WE-V01|紫光展锐 (UNISOC)|OLED柔性屏,2024-05-27 18:37:00,订单 ORD-2024-100054 出现 delivery 延迟，承运商 跨越速运，延迟 48.0 小时
SRC-DE-ORD-2024-100055,synthetic_order_row,event_layer_generator,ORD-2024-100055|SKU-AE-M01|韦尔股份 (Willsemi)|硅晶圆,2024-01-19 20:00:00,订单 ORD-2024-100055 出现 linehaul 延迟，承运商 跨越速运，延迟 144.0 小时
SRC-DE-ORD-2024-100056,synthetic_order_row,event_layer_generator,ORD-2024-100056|SKU-ST-S01|京东方 (BOE)|硅晶圆,2024-07-16 19:52:00,订单 ORD-2024-100056 出现 linehaul 延迟，承运商 跨越速运，延迟 120.0 小时
SRC-DE-ORD-2024-100059,synthetic_order_row,event_layer_generator,ORD-2024-100059|SKU-WE-W01|韦尔股份 (Willsemi)|聚合物锂电池,2024-06-26 19:45:00,订单 ORD-2024-100059 出现 linehaul 延迟，承运商 极兔速递，延迟 48.0 小时
SRC-DE-ORD-2024-100061,synthetic_order_row,event_layer_generator,ORD-2024-100061|SKU-CE-L01|歌尔股份 (Goertek)|聚合物锂电池,2024-01-15 22:05:00,订单 ORD-2024-100061 出现 linehaul 延迟，承运商 圆通速递，延迟 48.0 小时
SRC-DE-ORD-2024-100062,synthetic_order_row,event_layer_generator,ORD-2024-100062|SKU-WE-V01|华为海思 (HiSilicon)|聚合物锂电池,2023-11-24 03:25:00,订单 ORD-2024-100062 出现 delivery 延迟，承运商 中通快递，延迟 48.0 小时
SRC-DE-ORD-2024-100063,synthetic_order_row,event_layer_generator,ORD-2024-100063|SKU-WE-V01|歌尔股份 (Goertek)|主控芯片,2024-01-16 00:28:00,订单 ORD-2024-100063 出现 linehaul 延迟，承运商 德邦快递，延迟 48.0 小时
SRC-DE-ORD-2024-100065,synthetic_order_row,event_layer_generator,ORD-2024-100065|SKU-WE-W01|长江存储 (YMTC)|PCB印刷电路板,2023-07-01 21:55:00,订单 ORD-2024-100065 出现 linehaul 延迟，承运商 顺丰速运，延迟 48.0 小时
SRC-DE-ORD-2024-100067,synthetic_order_row,event_layer_generator,ORD-2024-100067|SKU-CE-L01|比亚迪半导体 (BYD)|PCB印刷电路板,2023-12-26 13:41:00,订单 ORD-2024-100067 出现 linehaul 延迟，承运商 邮政EMS，延迟 24.0 小时
SRC-DE-ORD-2024-100069,synthetic_order_row,event_layer_generator,ORD-2024-100069|SKU-AE-M01|闻泰科技 (Wingtech)|主控芯片,2024-03-08 05:02:00,订单 ORD-2024-100069 出现 linehaul 延迟，承运商 顺丰速运，延迟 48.0 小时
SRC-DE-ORD-2024-100071,synthetic_order_row,event_layer_generator,ORD-2024-100071|SKU-AE-C01|比亚迪半导体 (BYD)|OLED柔性屏,2024-06-08 22:50:00,订单 ORD-2024-100071 出现 delivery 延迟，承运商 中通快递，延迟 24.0 小时
SRC-DE-ORD-2024-100075,synthetic_order_row,event_layer_generator,ORD-2024-100075|SKU-CE-P01|立讯精密 (Luxshare)|PCB印刷电路板,2023-12-28 05:00:00,订单 ORD-2024-100075 出现 delivery 延迟，承运商 邮政EMS，延迟 48.0 小时
SRC-DE-ORD-2024-100077,synthetic_order_row,event_layer_generator,ORD-2024-100077|SKU-CE-L01|比亚迪半导体 (BYD)|光学镜头,2024-10-16 04:51:00,订单 ORD-2024-100077 出现 linehaul 延迟，承运商 邮政EMS，延迟 48.0 小时
SRC-DE-ORD-2024-100078,synthetic_order_row,event_layer_generator,ORD-2024-100078|SKU-CE-L01|紫光展锐 (UNISOC)|主控芯片,2024-09-28 23:10:00,订单 ORD-2024-100078 出现 linehaul 延迟，承运商 中通快递，延迟 24.0 小时
SRC-DE-ORD-2024-100079,synthetic_order_row,event_layer_generator,ORD-2024-100079|SKU-AE-M01|北方华创 (NAURA)|聚合物锂电池,2024-03-06 03:12:00,订单 ORD-2024-100079 出现 delivery 延迟，承运商 顺丰速运，延迟 48.0 小时
SRC-DE-ORD-2024-100080,synthetic_order_row,event_layer_generator,ORD-2024-100080|SKU-ST-S01|京东方 (BOE)|散热模组,2023-09-15 13:28:00,订单 ORD-2024-100080 出现 delivery 延迟，承运商 中通快递，延迟 48.0 小时
SRC-DE-ORD-2024-100082,synthetic_order_row,event_layer_generator,ORD-2024-100082|SKU-CE-L01|中芯国际 (SMIC)|PCB印刷电路板,2024-04-05 21:15:00,订单 ORD-2024-100082 出现 linehaul 延迟，承运商 中通快递，延迟 48.0 小时
SRC-DE-ORD-2024-100083,synthetic_order_row,event_layer_generator,ORD-2024-100083|SKU-ST-M01|中芯国际 (SMIC)|主控芯片,2024-02-27 04:27:00,订单 ORD-2024-100083 出现 linehaul 延迟，承运商 京东物流，延迟 24.0 小时
SRC-DE-ORD-2024-100085,synthetic_order_row,event_layer_generator,ORD-2024-100085|SKU-AE-C01|比亚迪半导体 (BYD)|硅晶圆,2023-09-02 22:15:00,订单 ORD-2024-100085 出现 linehaul 延迟，承运商 极兔速递，延迟 24.0 小时
